art,t,bpm,g,ln,s
Kobaryo,Transceiver FX,200,10,5,1328018
HoneyWorks,Akatsuki Zukuyo,154.6,4,3,351280
S3RL feat. Iceman,Berserk,195,10,5,1263014
paraoka,Manima ni,185,10,3,43107
Blue Stahli,Shotgun Senorita (Zardonic Remix),175,10,5,65853
LiSA,crossing field (TV Size),179,3,3,54384
BlackY vs. Yooh,HAVOX,210,2,5,553741
Mitsunori Ikeda ft. Aimee B,Fallen Angel (El Poco Maro Remix),176,10,2,36319
Lon,Nijigen Dream Fever,180,4,3,94744
ryo(supercell) feat. Hatsune Miku,ODDS&ENDS,192,2,3,624528
DJ Fresh,Gold Dust,177,10,2,935111
Tokoi Kenichi,Dragon Road - Day,185,2,5,171770
NicoNico Chorus,Rolling Girl,195,4,3,16458
Warak,REANIMATE,174,2,5,411866
Nashimoto Ui,AaAaAaAAaAaAAa,192,4,3,1017271
Otokaze,Ame Michi,95,6,5,65545
Cascada,Ready Or Not (Nightcore Mix),181.25,10,2,30224
Ryu*,We're so Happy,185,2,2,120838
yuikonnu & Hiiragi Yuka,Otsukimi Recital,110,5,3,113798
inabakumori,Lost Umbrella (7_7 bootleg),170,10,3,1454002
Camellia feat. Nanahira,Tsukitourou,191,2,3,1036751
SawanoHiroyuki[nZk]:Tielle & Gemie,sh0ut,106,3,2,641854
Sorry about my face,161914,168,6,5,832971
TryHardNinja,"Revenge (feat. CaptainSparklez) (ReeK's ""Dude, What's A Genre?"" Remix)",128,10,2,1398744
HyuN,Legend of Genesis,190,2,5,891356
TUYU,Loser Girl,186,4,3,1555035
Yousei Teikoku,Senketsu no Chikai,180,3,3,27104
SYNC.ART'S feat.Kaori,Absolute Demolition,180,2,3,25935
Xandria,Call Of Destiny,200,11,2,635559
Feint,Vagrant (feat. Veela),175,10,2,354537
Taiko no Tatsujin,Saitama2000,200,2,3,210
CyoucyoP feat.Hatsune Miku,End of the World,188,4,3,215476
mikitoP,"1, 2 Fan Club",145,4,3,58736
Krewella x Diskord,Beggars (Consouls Remix),174,10,2,1052935
Wowkie Zhang,Yang Guang Cai Hong Xiao Bai Ma,96,5,4,1177380
Hatsune Miku,Senkouhanabi Aika,200,4,3,33556
C-Show,PANIC HOLIC (VIP),220,2,5,471504
Sou,Kokoronashi,168,4,3,563241
t+pazolite,Night of Knights (tpz Overheat Remix),200,2,5,1031381
9mm Parabellum Bullet,Punishment,215,4,3,16715
Camellia,Quaoar,174,2,5,931741
Kano,Six trillion years and overnight story,186,4,3,240926
Acchi Kocchi Cast,Acchi de Kocchi de (TV Size),210,3,3,49967
Calliope Mori,"Excuse My Rudeness, but Could You Please RIP?<3 (t+pazolite Remix)",260,10,2,1278695
Hoshimachi Suisei,KING,166,5,3,1457209
Demetori,Shoujo Satori ~ Innumerable Eyes,190,2,5,288656
t+pazolite,Tempestissimo,231,2,5,1179815
Ni-Sokkususu,Blade Dance,187,3,3,372851
DJ Fresh feat. Rita Ora,Hot Right Now (Radio Edit),175,10,2,575072
TeamGrimoire+Amaneko,croiX,195,2,5,88692
L'Arc~en~Ciel,DAYBREAK'S BELL,156.24,4,3,19681
BAND-MAID,DICE,180,4,3,1121118
Black Raison d'etre,INSIDE IDENTITY,186,3,3,66901
Suzumu feat.Soraru,Zetsubousei: Hero Chiryouyaku (TV Size),205,3,3,104801
Tanya Degurechaff (CV: Yuuki Aoi),Los! Los! Los! (TV Size),240,3,3,1069743
LiSA,ROCK-mode,180,4,3,1124391
Feryquitous feat. Sennzai,Koe,191,2,14,958909
96neko,Uso no Hibana,188,3,3,571856
S3RL,Catchit (Radio Edit),175,10,2,785731
