art,t,bpm,g,ln,s
BABYMETAL,Gimme chocolate!!,220,11,3,452230
HyuN,Illusion of Inflict,170,2,5,972887
Hanasaka Yui (CV: M.A.O),Harumachi Clover (TV Size),142,3,3,933554
Lindsey Stirling,Senbonzakura,154,13,5,773136
Warak,REANIMATE,174,2,5,209103
ZUN & Ryu*,Second Darkside,149,2,5,24304
Mercy X,Caught Fire (feat. Ashley Lawless) (Cut Ver.),150,10,2,921053
Veritas Unae,~DISK 1~,80,12,5,563458
ALiCE'S EMOTiON,Dark Flight Dreamer,189,2,3,1270628
Scenarioart,Nana Hitsuji (TV Size),190,3,3,960100
Hanazawa Kana,Meiwaku Spectacle (TV Size),157,3,3,155039
Bring Me The Horizon,in the dark,156,4,2,1112696
nano.RIPE,Real World (TV ver.),197,3,3,348412
DJ TOTTO feat. Enako,Precious * Star,178,2,3,776495
dark cat,BANANA STREET,154,10,5,560047
Cass2,Gravity Falls Theme Song- 16 Bit Mix,166,10,5,664315
Set It Off,Horrible Kids,170,4,2,1249048
Little Glee Monster,OVER (TV Size),180,3,3,1211978
Hatsune Miku,Yellow,127,2,3,17624
Ho-Ong-I,Hide and Seek,120,6,6,72943
Roses Epicurean,Nightmare -Overture-,115,6,5,461525
Itou Kanako,Hacking to the Gate (TV Size),161,3,3,840945
yanaginagi,Haru Modoki,174,3,3,763695
Nakajima Megumi,Ninjin Loves you yeah!,160,3,3,29688
STYLE FIVE,SPLASH FREE (TV Size),128,3,3,103417
Coalamode.,Nanairo Symphony -TV Size-,155,3,3,488149
yuikonnu & ayaponzu*,Super Nuko World,190,4,3,153776
ONE OK ROCK,Answer is Near,188,4,3,63112
Horie Yui,Asymmetry,173,3,3,361902
Kayano Ai,Oracion(TV-Size),166,3,3,172013
Suzuki Konomi,Redo,190,3,3,456524
R3 Music Box,FREEDOM DiVE,82.5,2,5,764245
SCREEN mode,Reason Living (TV Size),162,3,3,761801
OLDCODEX,Catal Rhythm (TV Size),176,3,3,54579
MADKID,RISE (TV Size),165,3,3,910748
P4koo,Melody Line,178,10,5,1340600
ICHIKO,First Kiss (TV Size),156,3,3,33639
nanobii,Rainbow Road,170,10,5,1234892
Petit Rabbit's,Daydream cafe (TV Size),150,3,3,167836
Sasaki Eri,Ring of Fortune (TV Size),158,3,3,1338117
